Account Transactions
C Cubed Training
Date Range: 2025-01-01 to 2025-11-12
Report Type: Cash Basis (Paid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,Cash on Hand,,,,
Starting Balance,,,,,"$15,094.68"
,2025-01-03,3d Printer Filliment - Ink,,$26.25,"$15,068.43"
,2025-01-03,Compass Farm Charactoers,,$108.00,"$14,960.43"
,2025-01-04,Albertson's,,$93.05,"$14,867.38"
,2025-01-04,Amazon Purchase of Supplies,,$406.52,"$14,460.86"
,2025-01-04,Gift Card,,$40.00,"$14,420.86"
,2025-01-04,Loaf N Jug,,$34.99,"$14,385.87"
,2025-01-05,7-11,,$23.85,"$14,362.02"
,2025-01-06,WIX,,$17.35,"$14,344.67"
,2025-01-10,Verizon Wireless,,$800.97,"$13,543.70"
,2025-01-10,Food for Pueblo Class,,$20.95,"$13,522.75"
,2025-01-10,Walmart,,$51.78,"$13,470.97"
,2025-01-11,Loaf N Jug,,$38.02,"$13,432.95"
,2025-01-12,Advertisement Booth At Wold Lodge,,$150.00,"$13,282.95"
,2025-01-14,Colorado Secretary of State,,$404.24,"$12,878.71"
,2025-01-14,Food for Pueblo Class,,$30.00,"$12,848.71"
,2025-01-15,Identigo,,$56.00,"$12,792.71"
,2025-01-15,Walmart,,$16.78,"$12,775.93"
,2025-01-16,SECOM,,$64.95,"$12,710.98"
,2025-01-16,San Isabel Electric,,$110.56,"$12,600.42"
,2025-01-17,MakeStickers,,$66.80,"$12,533.62"
,2025-01-17,J & M Solutions,,"$2,000.00","$10,533.62"
,2025-01-17,Food for Centennial,,$20.96,"$10,512.66"
,2025-01-17,Sam's Club,,$84.38,"$10,428.28"
,2025-01-17,Sam's Club Gas Station,,$32.50,"$10,395.78"
,2025-01-18,City of Walsenburg,,$343.14,"$10,052.64"
,2025-01-19,Colorado Dept of Education,,$93.60,"$9,959.04"
,2025-01-19,Amazon Marketplace,,$103.52,"$9,855.52"
,2025-01-20,PC Name Tag,,$264.22,"$9,591.30"
,2025-01-21,Staples,,$79.52,"$9,511.78"
,2025-01-22,WIX,,$228.00,"$9,283.78"
