Account Transactions
C Cubed Training
Date Range: 2024-01-01 to 2024-12-31
Report Type: Accrual (Paid & Unpaid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,Cash on Hand,,,,
Starting Balance,,,,,$0.00
,2024-06-15,Write a Description,"$1,342.29",,"$1,342.29"
,2024-06-16,Pizza for Walsenburg Kids,,$33.64,"$1,308.65"
,2024-06-19,Stickers,,$52.21,"$1,256.44"
,2024-06-20,Walmart - Cookies,,$31.00,"$1,225.44"
,2024-06-23,Ice Cream for Reward,,$12.70,"$1,212.74"
,2024-06-24,Gas,,$61.03,"$1,151.71"
,2024-06-25,Convention Fee,,$10.00,"$1,141.71"
,2024-06-30,Facebook Ad,,$31.35,"$1,110.36"
,2024-07-02,Amazon Market Place,,$45.55,"$1,064.81"
,2024-07-09,Access Ramp,,$271.04,$793.77
,2024-07-13,First Choice Walsenburg,,$32.49,$761.28
,2024-07-22,Coffee Mugs,,$411.41,$349.87
,2024-07-26,Refund from discount mugs,$51.35,,$401.22
,2024-07-26,BOCES Payment,"$3,010.35",,"$3,411.57"
,2024-07-30,Lunch with Client - Kooper Kettle,,$70.01,"$3,341.56"
,2024-07-30,Rent - Bill pay to PB&T,,"$1,500.00","$1,841.56"
,2024-07-31,Facebook Ads,,$165.65,"$1,675.91"
,2024-08-01,Colorado Sec of State Business Registration,,$10.00,"$1,665.91"
,2024-08-08,Ianne's Pizzaria - Pueblo,,$123.63,"$1,542.28"
,2024-08-09,Amazon - Crimper and other items,,$41.56,"$1,500.72"
,2024-08-10,Sonic Drive Through,,$51.97,"$1,448.75"
,2024-08-11,Pizza at Valley Market,,$29.66,"$1,419.09"
,2024-08-13,Alta Convenience Store,,$25.03,"$1,394.06"
,2024-08-13,Gas for vehicle - Loaf N Jug Walsenburg,,$79.95,"$1,314.11"
,2024-08-13,Sam's Club Snacks,,$30.94,"$1,283.17"
,2024-08-13,Uber Eats,,$18.97,"$1,264.20"
,2024-08-13,Uber Eats for Pueblo,,$63.57,"$1,200.63"
,2024-08-13,Walmart Snack buy,,$25.17,"$1,175.46"
,2024-08-14,7-11 Widefield,,$14.63,"$1,160.83"
,2024-08-14,WIX.COM,,$192.00,$968.83
,2024-08-15,Mobile White Board from Amazon,,$123.12,$845.71
,2024-08-15,Loaf N Jug for Gas,,$26.68,$819.03
,2024-08-19,Stipend for UCCS Camp,$900.00,,"$1,719.03"
,2024-08-19,Dollar General,,$12.00,"$1,707.03"
,2024-08-20,Valley Market ,,$6.92,"$1,700.11"
,2024-08-20,Loaf N Jug in Pueblo,,$47.50,"$1,652.61"
,2024-08-21,Little Caesars Pizza in Pueblo,,$46.25,"$1,606.36"
,2024-08-21,BB Diner,,$36.60,"$1,569.76"
,2024-08-27,Pizza for Lunch,,$53.79,"$1,515.97"
,2024-08-28,Amazon-laptop battery and tool kits,,$69.89,"$1,446.08"
,2024-08-28,EdReenv BOCES,"$7,310.85",,"$8,756.93"
,2024-08-28,Walmart,,$31.80,"$8,725.13"
,2024-08-29,Alta Convivence Store - Gas,,$64.03,"$8,661.10"
,2024-08-29,Laptops for 11 students,,"$3,008.67","$5,652.43"
,2024-08-31,Rent payment,,"$1,500.00","$4,152.43"
,2024-09-03,Amazon,,$44.87,"$4,107.56"
,2024-09-03,Reimbursement for Mileage,$300.00,,"$4,407.56"
,2024-09-03,Food for Classes,,$25.00,"$4,382.56"
,2024-09-03,Lunch for Pueblo Class,,$43.57,"$4,338.99"
,2024-09-04,Dell - Printer,,$359.49,"$3,979.50"
,2024-09-04,Walmart,,$28.87,"$3,950.63"
,2024-09-05,First Choice (grocery store),,$35.18,"$3,915.45"
,2024-09-07,Quizlet,,$35.99,"$3,879.46"
