Date,Description,Check Number,Amount,Balance
12/29/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),$599.79 
12/26/2025,PUBLIC DATA CHECK 800-9894662 CA 12/25/25 Card 0872 Visa Check,,($29.96),"$1,149.36 "
12/24/2025,DELTEK INC 800-456-2009 VA 12/23/25 Card 0872 Visa Check,,"($1,750.00)","$1,179.32 "
12/23/2025,"Transfer To FREEBURG,JOHN M *******966 Share 09",,($750.00),"$2,929.32 "
12/22/2025,Check #1510,0000001510,($100.00),"$3,679.32 "
12/22/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$3,779.32 "
12/17/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$4,328.89 "
12/17/2025,Transfer From C CUBED TRAINING *******339 Share 10 FOR INVOICE,,"$2,000.00 ","$4,878.46 "
12/15/2025,WAVE SV9T  : 8888334751   : 1043575881,,$194.20 ,"$2,878.46 "
12/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($80.66),"$2,684.26 "
12/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($60.00),"$2,764.92 "
12/6/2025,TWILIO SENDGRID WWW.TWILIO.CO CA 12/06/25 Card 0872 Visa Check,,($16.73),"$2,824.92 "
12/5/2025,"Transfer From FREEBURG,JOHN M *******966 Share 09",,"$2,000.00 ","$2,841.65 "
12/4/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),$841.65 
12/2/2025,BLD*MYPERFECTRESUME 8552130348 PR 12/01/25 Card 0872 Visa Check,,($23.95),"$1,391.22 "
11/29/2025,FINDRFP.COM MINNEAPOLIS MN 11/28/25 Card 0872 Visa Check,,($29.95),"$1,415.17 "
11/26/2025,PUBLIC DATA CHECK 800-9894662 CA 11/25/25 Card 0872 Visa Check,,($29.96),"$1,445.12 "
11/26/2025,PAYPAL *GODADDY.COM 402-935-7733 AZ Card 0872,,($50.59),"$1,475.08 "
11/26/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$1,525.67 "
11/20/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$2,075.24 "
11/17/2025,Transfer From C CUBED TRAINING *******339 Share 10 FOR INVOICE,,"$2,000.00 ","$2,624.81 "
11/17/2025,WAVE SV9T  : 8888334751   : 1043575881,,$194.20 ,$624.81 
11/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($80.66),$430.61 
11/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($60.00),$511.27 
11/7/2025,PAYPAL *GODADDY.COM 402-935-7733 AZ Card 0872,,($12.19),$571.27 
11/5/2025,POSTCARDMANIA CLEARWATER FL 11/05/25 Card 0872 Visa Check,,"($1,745.61)",$583.46 
11/3/2025,BLD*MYPERFECTRESUME 8552130348 PR 11/03/25 Card 0872 Visa Check,,($23.95),"$2,329.07 "
11/1/2025,WAVE - PAYROLL FEES WAVEAPPS.COM CO 11/01/25 Card 0872 Visa Check,,($32.00),"$2,353.02 "
10/29/2025,FINDRFP.COM MINNEAPOLIS MN 10/28/25 Card 0872 Visa Check,,($29.95),"$2,385.02 "
10/28/2025,AMAZON MKTPL*N48B27K10 Amzn.com/bill WA 10/28/25 Card 0872 Visa Check,,($19.53),"$2,414.97 "
10/27/2025,PUBLIC DATA CHECK 800-9894662 CA 10/26/25 Card 0872 Visa Check,,($29.96),"$2,434.50 "
10/21/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$2,464.46 "
10/20/2025,BLD*MYPERFECTRESUME 8552130348 PR 10/20/25 Card 0872 Visa Check,,($2.95),"$3,014.03 "
10/20/2025,POCKET PREP - IT/CYBER POCKETPREP.CO WA 10/20/25 Card 0872 Visa Check,,($20.99),"$3,016.98 "
10/20/2025,WAVE SV9T  : 8888334751   : 1043575881,,$194.20 ,"$3,037.97 "
10/17/2025,Transfer From C CUBED TRAINING *******339 Share 10 FOR INVOICE,,"$2,000.00 ","$2,843.77 "
10/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($80.66),$843.77 
10/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($60.00),$924.43 
10/8/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),$984.43 
10/1/2025,WAVE - PAYROLL FEES WAVEAPPS.COM CO 10/01/25 Card 0872 Visa Check,,($32.00),"$1,534.00 "
10/1/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$1,566.00 "
9/29/2025,Card Fee  VISA INTERNATIONAL SERVICE ASSESSMENT Date 09/29/25 Card 0872,,($0.54),"$2,115.57 "
9/29/2025,IMSTECK1 SINGAPORE SG 09/29/25 Card 0872 Visa Check,,($68.00),"$2,116.11 "
9/28/2025,PAYPAL *MICROSOFT 402-935-7733 WA 09/28/25 Card 0872 Visa Check,,($129.99),"$2,184.11 "
9/28/2025,PUBLIC DATA CHECK 800-9894662 CA 09/26/25 Card 0872 Visa Check,,($29.96),"$2,314.10 "
9/25/2025,VISTAPRINT 866-207-4955 MA 09/25/25 Card 0872 Visa Check,,($29.07),"$2,344.06 "
9/25/2025,CO SECRETARY STATE FEE 303-860-6962 CO 09/25/25 Card 0872 Visa Check,,($25.00),"$2,373.13 "
9/24/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$2,398.13 "
9/23/2025,WAVE SV9T  : 8888334751   : 1043575881,,$194.20 ,"$2,947.70 "
9/20/2025,POCKET PREP - IT/CYBER POCKETPREP.CO WA 09/20/25 Card 0872 Visa Check,,($20.99),"$2,753.50 "
9/17/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$2,774.49 "
9/17/2025,Transfer From C CUBED TRAINING *******339 Share 10 FOR INVOICE,,"$2,000.00 ","$3,324.06 "
9/12/2025,SOUTHWES 52623862720 800-435-9792 TX 09/11/25 Card 0872 Visa Check,,($248.36),"$1,324.06 "
9/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($108.00),"$1,572.42 "
9/11/2025,FARMERS INS COMMERCIAL 855-323-5350 CA Card 0872,,($149.40),"$1,680.42 "
9/11/2025,Transfer From C CUBED TRAINING *******339 Share 10 QUARTERLY BOOK KEEPING,,"$1,000.00 ","$1,829.82 "
9/10/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),$829.82 
9/4/2025,EVENT:CS5 EAST 2025 CS5EAST.ORG MD 09/04/25 Card 0872 Visa Check,,($833.00),"$1,379.39 "
9/4/2025,Wave Payroll  : PCR   : 1209306000,,($549.57),"$2,212.39 "
9/1/2025,WAVE - PAYROLL FEES WAVEAPPS.COM CO 09/01/25 Card 0872 Visa Check,,($32.00),"$2,761.96 "
