Account Transactions
J & M Solutions
Date Range: 2025-01-01 to 2025-12-29
Report Type: Accrual (Paid & Unpaid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,S09 - Free Business Checking,,,,
Starting Balance,,,,,"$1,066.15"
Checking,2025-01-01,To bring account current,"$6,836.72",,"$7,902.87"
Checking,2025-01-02,Wave PYRL : PAYROLL : 2981044,,$209.91,"$7,692.96"
Checking,2025-01-03,Square Payment,$96.40,,"$7,789.36"
Checking,2025-01-13,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,368.53"
Checking,2025-01-17,Wave PYRL : PAYROLL : 2981044,,$420.83,"$6,947.70"
Checking,2025-01-17,Invoice payment from C Cubed,"$2,000.00",,"$8,947.70"
Checking,2025-01-22,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,526.87"
Checking,2025-01-30,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,106.04"
Checking,2025-02-01,Wave Payroll,,$20.00,"$8,086.04"
Checking,2025-02-01,Wave Payroll,,$32.00,"$8,054.04"
Checking,2025-02-03,Snow Shoveling,,$400.00,"$7,654.04"
Checking,2025-02-06,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,233.21"
Checking,2025-02-13,Wave PYRL : PAYROLL : 2981044,,$420.83,"$6,812.38"
Checking,2025-02-13,Square Deposit,$96.40,,"$6,908.78"
Checking,2025-02-17,Invoice #2 Payment from C3,"$2,000.00",,"$8,908.78"
Checking,2025-02-20,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,487.95"
Checking,2025-02-27,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,067.12"
Checking,2025-03-01,Wave Payroll,,$32.00,"$8,035.12"
Checking,2025-03-05,Square Payment,$96.40,,"$8,131.52"
Checking,2025-03-06,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,710.69"
Checking,2025-03-13,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,289.86"
Checking,2025-03-18,Payment for Invoice,"$2,000.00",,"$9,289.86"
Checking,2025-03-20,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,869.03"
Checking,2025-03-23,Public Data Lookup,,$1.00,"$8,868.03"
Checking,2025-03-27,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,447.20"
Checking,2025-03-27,Square Payment,$96.40,,"$8,543.60"
