Transaction ID,Transaction Date,Account Name,Transaction Description,Transaction Line Description,Amount (One column), ,Debit Amount (Two Column Approach),Credit Amount (Two Column Approach),Other Accounts for this Transaction,Customer,Vendor,Invoice Number,Bill Number,Notes / Memo,Amount Before Sales Tax,Sales Tax Amount,Sales Tax Name,Transaction Date Added,Transaction Date Last Modified,Account Group,Account Type,Account ID
340800585987022484,2018-01-01,S09 - Free Business Checking,BEGINING BALANCE,BEGINING BALANCE,1676.53,,1676.53,,Starting Balance,,,,,,1676.53,,,2018-02-01,2018-02-03,Asset,Cash and Bank,Checking
340800585987022484,2018-01-01,Starting Balance,BEGINING BALANCE,BEGINING BALANCE,1676.53,,,1676.53,S09 - Free Business Checking,,,,,,1676.53,,,2018-02-01,2018-02-03,Income,Other Income,
319351665121582937,2018-01-02,S09 - Free Business Checking,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,-953.23,,,953.23,Small Tools & Equipment,,,,,,-953.23,,,2018-01-03,2018-01-15,Asset,Cash and Bank,Checking
319351665121582937,2018-01-02,Small Tools & Equipment,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,953.23,,953.23,,S09 - Free Business Checking,,,,,,953.23,,,2018-01-03,2018-01-15,Expense,Operating Expense,
319351669592711012,2018-01-02,S09 - Free Business Checking,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/02/18 Card 6271,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/02/18 Card 6271,-39.50,,,39.50,Vehicle – Fuel,,,,,,-39.50,,,2018-01-03,2018-01-03,Asset,Cash and Bank,Checking
319351669592711012,2018-01-02,Vehicle – Fuel,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/02/18 Card 6271,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/02/18 Card 6271,39.50,,39.50,,S09 - Free Business Checking,,,,,,39.50,,,2018-01-03,2018-01-03,Expense,Operating Expense,
319351673694740331,2018-01-02,S09 - Free Business Checking,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 12/31/17 Card 6271,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 12/31/17 Card 6271,-75.00,,,75.00,San Air Technologies,,,,,,-75.00,,,2018-01-03,2018-01-15,Asset,Cash and Bank,Checking
319351673694740331,2018-01-02,San Air Technologies,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 12/31/17 Card 6271,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 12/31/17 Card 6271,75.00,,75.00,,S09 - Free Business Checking,,,,,,75.00,,,2018-01-03,2018-01-15,Expense,Cost of Goods Sold,
319351677578665842,2018-01-02,S09 - Free Business Checking,Deposit Bulk Checks 120.00 Bulk Check Count 1 Bulk Deposit Number xxx1219,Deposit Bulk Checks 120.00 Bulk Check Count 1 Bulk Deposit Number xxx1219,120.00,,120.00,,Computer Income,,,,,,120.00,,,2018-01-03,2018-01-15,Asset,Cash and Bank,Checking
319351677578665842,2018-01-02,Computer Income,Deposit Bulk Checks 120.00 Bulk Check Count 1 Bulk Deposit Number xxx1219,Deposit Bulk Checks 120.00 Bulk Check Count 1 Bulk Deposit Number xxx1219,120.00,,,120.00,S09 - Free Business Checking,,,,,,120.00,,,2018-01-03,2018-01-15,Income,Income,
319351681848467324,2018-01-02,S09 - Free Business Checking,#xxxxxxxx3479 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx3479 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-5.69,,,5.69,Cigs,,,,,,-5.69,,,2018-01-03,2018-01-29,Asset,Cash and Bank,Checking
319351681848467324,2018-01-02,Cigs,#xxxxxxxx3479 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx3479 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,5.69,,5.69,,S09 - Free Business Checking,,,,,,5.69,,,2018-01-03,2018-01-29,Expense,Operating Expense,
319351686160211843,2018-01-02,S09 - Free Business Checking,Merch Services : Statement : xxxxxx9412,Merch Services : Statement : xxxxxx9412,-14.95,,,14.95,Merchant Services,,,,,,-14.95,,,2018-01-03,2018-01-15,Asset,Cash and Bank,Checking
319351686160211843,2018-01-02,Merchant Services,Merch Services : Statement : xxxxxx9412,Merch Services : Statement : xxxxxx9412,14.95,,14.95,,S09 - Free Business Checking,,,,,,14.95,,,2018-01-03,2018-01-15,Expense,Payment Processing Fee,
319351690203520906,2018-01-02,S09 - Free Business Checking,Square Inc : 1x0101P2 : xxxxxx0002,Square Inc : 1x0101P2 : xxxxxx0002,48.25,,48.25,,Partial Home Inspection,,,,,Roof Inspection,48.25,,,2018-01-03,2018-01-15,Asset,Cash and Bank,Checking
319351690203520906,2018-01-02,Partial Home Inspection,Square Inc : 1x0101P2 : xxxxxx0002,Square Inc : 1x0101P2 : xxxxxx0002,48.25,,,48.25,S09 - Free Business Checking,,,,,Roof Inspection,48.25,,,2018-01-03,2018-01-15,Income,Income,
320387870357478840,2018-01-03,S09 - Free Business Checking,#xxxxxxxx4092 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx4092 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-9.26,,,9.26,Cigs,,,,,,-9.26,,,2018-01-04,2018-01-29,Asset,Cash and Bank,Checking
